"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
289411,"Thunderbird","Mail Window Front End"," +","RESOLVED","FIXED","e-mail tag is not visible when thread is collapsed","2013-04-01 11:12:10"
1022342,"Calendar","General","0o3ko0","RESOLVED","FIXED","Make use of Assert.jsm in xpcshell tests","2015-02-22 16:51:18"
1101627,"Core","Layout","0o3ko0","RESOLVED","FIXED","Add touch-action regions to the layer EventRegions","2016-07-15 09:58:13"
1116008,"Core","Panning and Zooming","0o3ko0","RESOLVED","FIXED","Transition more fields of FrameMetrics to use getters/setters","2014-12-31 11:11:08"
1159638,"Calendar","General","0o3ko0","RESOLVED","FIXED","Getter fails in calender-migration-dialog on first run after installation","2015-05-09 07:15:47"
928012,"Firefox OS","Gaia::Contacts","14.jeevan","RESOLVED","FIXED","Contacts should use generic ""memory card"" instead of SD","2014-09-10 01:15:21"
1332650,"www.mozilla.org","Pages & Content","14.jeevan","RESOLVED","FIXED","[CSS linting] MPL and namespace pages","2017-02-03 02:36:22"
1332672,"www.mozilla.org","Pages & Content","14.jeevan","RESOLVED","FIXED","[CSS linting] /foundation directory","2017-02-03 02:35:54"
591753,"Toolkit","Add-ons Manager","15electronicmotor","RESOLVED","FIXED","Category buttons should highlight on hover even when selected","2015-08-17 16:55:36"
1310835,"Core","Spelling checker",166291,"RESOLVED","FIXED","Search DICPATH for Hunspell dictionaries","2016-11-05 13:58:47"
1429394,"Toolkit","General","1991manish.kumar","RESOLVED","FIXED","Remove toolkit/locales/generic/chrome/global/brand.dtd","2018-04-02 03:23:48"
1429396,"Toolkit","General","1991manish.kumar","RESOLVED","FIXED","Remove toolkit/content/global/XPCNativeWrapper.js","2018-03-28 15:17:21"
1450566,"Firefox","Theme","1991manish.kumar","RESOLVED","FIXED","Replace aboutSessionRestore-window-icon.png usage with window.svg","2018-04-02 03:32:41"
1450567,"Firefox","Theme","1991manish.kumar","RESOLVED","FIXED","Remove remaining social API images","2018-04-02 15:02:30"
1450573,"Toolkit","Themes","1991manish.kumar","RESOLVED","FIXED","Remove unused menu-check.png and menu-check@2x.png","2018-04-02 03:32:44"
1450586,"Firefox","Theme","1991manish.kumar","RESOLVED","FIXED","Remove unused sync images","2018-04-02 03:32:48"
1450587,"Firefox","Developer Tools","1991manish.kumar","RESOLVED","FIXED","Update developer edition promo icon","2018-04-02 15:02:33"
1450588,"Firefox","Theme","1991manish.kumar","RESOLVED","FIXED","Remove old bookmark animation code and images","2018-04-04 10:57:38"
1450589,"Firefox","Theme","1991manish.kumar","RESOLVED","FIXED","Remove old private browsing PNG images","2018-04-04 10:57:41"
1450590,"Firefox","Theme","1991manish.kumar","RESOLVED","FIXED","Remove unused browser/themes/linux/preferences/mail.png","2018-04-02 03:32:50"
1450594,"Toolkit","Themes","1991manish.kumar","RESOLVED","FIXED","Remove unused toolkit/themes/windows/global/icons/find-arrows.png","2018-04-02 03:32:53"
278549,"SeaMonkey","MailNews: Account Configuration","1ac7b2edaa08e4edd3334c5dc4b966af","RESOLVED","FIXED","Can't configure used certificate per mail identity","2009-01-31 13:23:52"
955191,"Chat Core","Eventloop","1o5g4r8o","RESOLVED","FIXED","Make purple_timeout_add(0, callback); work on all OSes as a thread synchronization mechanism (used to be only on Windows)","2013-12-30 17:27:51"
403266,"Core","Layout: View Rendering",21,"RESOLVED","FIXED","usechromesheets attribute does not work if there is no userContent.css in the profile","2015-12-04 05:33:49"
491601,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Clicking outside of add-on when options are shown hides ""Options"" button but leave options on screen","2013-12-10 09:58:52"
494200,"Firefox for Android Graveyard","General",21,"RESOLVED","FIXED","Simplify header of Get-addons section","2011-06-12 02:25:37"
